Date,Price,Open,High,Low,Volume,Change 
01/02/2020,94.90,93.75,94.90,93.21,80.72,2.72
01/03/2020,93.75,93.22,94.31,93.22,75.33,-1.21
01/06/2020,95.14,93.00,95.18,93.00,81.31,1.48
01/07/2020,95.34,95.22,95.69,94.60,82.68,0.21
01/08/2020,94.60,94.90,95.55,94.32,70.24,-0.78
01/09/2020,95.05,95.49,95.89,94.79,63.50,0.48
01/10/2020,94.16,95.27,95.35,94.00,57.14,-0.94
01/13/2020,94.56,94.57,94.90,94.04,55.72,0.42
01/14/2020,93.47,94.29,94.36,92.93,68.93,-1.15
01/15/2020,93.10,93.61,93.94,92.75,57.93,-0.40
01/16/2020,93.90,94.15,94.28,93.30,53.19,0.86
01/17/2020,93.24,94.29,94.33,92.86,79.95,-0.70
01/21/2020,94.60,93.25,94.71,93.00,74.16,1.46
01/22/2020,94.37,94.80,95.12,94.17,64.33,-0.24
01/23/2020,94.23,94.26,94.50,93.64,49.69,-0.15
01/24/2020,93.08,94.57,94.75,92.37,75.32,-1.22
01/27/2020,91.42,91.00,92.05,90.77,70.57,-1.78
01/28/2020,92.66,92.03,92.91,91.50,56.16,1.36
01/29/2020,92.90,93.20,93.74,92.75,42.03,0.26
01/30/2020,93.53,92.90,93.64,92.53,126.55,0.68
01/31/2020,100.44,102.57,102.79,100.11,311.35,7.39
02/03/2020,100.21,100.53,102.42,100.01,117.98,-0.23
02/04/2020,102.48,101.49,102.99,100.77,105.79,2.27
02/05/2020,101.99,103.55,103.55,101.60,87.52,-0.48
02/06/2020,102.51,102.05,102.81,101.24,63.66,0.51
02/07/2020,103.96,102.10,104.93,101.91,101.91,1.41
02/10/2020,106.70,104.25,106.78,104.25,101.12,2.64
02/11/2020,107.54,107.55,109.30,106.80,114.92,0.79
02/12/2020,108.00,108.16,109.01,107.76,66.69,0.43
02/13/2020,107.49,107.25,108.51,107.10,60.64,-0.47
02/14/2020,106.74,107.78,107.95,106.29,52.12,-0.70
02/18/2020,107.78,106.25,108.30,106.21,59.02,0.97
02/19/2020,108.51,108.39,109.25,108.06,51.22,0.68
02/20/2020,107.66,108.65,108.84,106.37,62.63,-0.78
02/21/2020,104.80,107.11,107.23,104.40,93.01,-2.66
02/24/2020,100.46,100.16,101.96,99.40,130.94,-4.14
02/25/2020,98.64,101.32,101.73,97.92,124.38,-1.81
02/26/2020,98.98,98.51,100.73,98.02,104.81,0.34
02/27/2020,94.22,96.72,98.75,94.14,162.88,-4.81
02/28/2020,94.19,90.73,94.49,90.56,189.88,-0.03
03/02/2020,97.70,95.32,97.73,93.50,135.23,3.73
03/03/2020,95.45,98.77,99.82,94.40,150.69,-2.30
03/04/2020,98.79,97.33,98.90,96.10,95.46,3.50
03/05/2020,96.20,96.65,98.04,95.50,94.96,-2.62
03/06/2020,95.05,93.75,95.54,93.47,105.47,-1.20
03/09/2020,90.03,88.69,93.14,88.06,156.26,-5.28
03/10/2020,94.59,93.54,94.71,90.91,142.67,5.06
03/11/2020,91.04,92.89,93.57,90.08,112.94,-3.75
03/12/2020,83.83,86.10,88.25,83.75,226.92,-7.92
03/13/2020,89.25,87.75,89.32,84.03,176.19,6.47
03/16/2020,84.46,82.08,87.97,81.30,178.35,-5.37
03/17/2020,90.39,88.77,92.89,84.46,218.34,7.02
03/18/2020,91.50,87.50,92.08,87.25,192.90,1.23
03/19/2020,94.05,93.00,97.25,91.63,208.00,2.79
03/20/2020,92.30,96.32,97.85,91.04,196.36,-1.86
03/23/2020,95.14,91.39,95.97,90.60,156.17,3.08
03/24/2020,97.00,97.57,97.75,95.02,142.94,1.96
03/25/2020,94.29,96.03,97.51,94.29,129.58,-2.79
03/26/2020,97.77,95.10,97.82,94.46,124.70,3.69
03/27/2020,95.00,96.54,96.99,95.00,107.76,-2.83
03/30/2020,98.20,96.14,98.68,95.62,122.52,3.37
03/31/2020,97.49,98.22,99.65,97.20,102.47,-0.72
04/01/2020,95.39,96.65,97.25,94.65,82.44,-2.15
04/02/2020,95.94,95.08,96.38,94.50,86.72,0.58
04/03/2020,95.33,95.56,96.32,94.46,72.20,-0.64
04/06/2020,99.88,96.80,99.93,96.50,115.46,4.77
04/07/2020,100.58,100.86,101.79,99.88,102.28,0.70
04/08/2020,102.15,101.05,102.20,100.56,79.55,1.56
04/09/2020,102.14,102.22,102.65,100.88,93.11,-0.01
04/13/2020,108.44,102.00,109.00,101.90,134.33,6.17
04/14/2020,114.17,110.02,114.60,109.31,161.74,5.28
