Date,Price,Open,High,Low,Volume,Change 
01/02/2020,329.81,326.10,329.98,324.78,4.35,1.93
01/03/2020,325.90,326.78,329.86,325.53,3.80,-1.19
01/06/2020,335.83,323.12,336.36,321.20,5.67,3.05
01/07/2020,330.75,336.47,336.70,330.30,4.74,-1.51
01/08/2020,339.26,331.49,342.70,331.05,7.11,2.57
01/09/2020,335.66,342.00,343.42,334.61,4.72,-1.06
01/10/2020,329.05,337.13,338.50,327.27,4.72,-1.97
01/13/2020,338.92,331.80,340.85,331.51,6.30,3.00
01/14/2020,338.69,344.40,345.38,335.52,7.20,-0.07
01/15/2020,339.07,338.68,343.17,336.60,5.16,0.11
01/16/2020,338.62,343.50,343.56,335.85,5.02,-0.13
01/17/2020,339.67,341.00,341.57,337.38,6.07,0.31
01/21/2020,338.11,340.00,341.00,332.59,14.35,-0.46
01/22/2020,326.00,332.55,336.30,323.60,21.73,-3.58
01/23/2020,349.60,326.04,349.88,325.01,18.20,7.24
01/24/2020,353.16,348.46,359.85,345.88,17.94,1.02
01/27/2020,342.88,345.95,351.90,341.02,7.71,-2.91
01/28/2020,348.52,345.88,352.40,342.78,6.82,1.64
01/29/2020,343.16,349.00,349.40,338.55,7.65,-1.54
01/30/2020,347.74,341.10,348.20,339.25,5.33,1.33
01/31/2020,345.09,347.39,347.39,340.98,5.23,-0.76
02/03/2020,358.00,347.24,359.63,346.28,6.67,3.74
02/04/2020,369.01,361.00,369.57,356.10,7.16,3.08
02/05/2020,369.67,375.12,375.25,362.30,6.44,0.18
02/06/2020,366.95,369.60,371.55,362.50,3.92,-0.74
02/07/2020,366.77,365.04,371.80,363.57,4.39,-0.05
02/10/2020,371.07,365.00,374.80,362.52,5.29,1.17
02/11/2020,373.69,373.75,378.11,369.72,4.77,0.71
02/12/2020,380.01,377.18,380.62,375.88,4.62,1.69
02/13/2020,381.40,376.96,385.37,376.51,4.49,0.37
02/14/2020,380.40,381.47,385.15,379.43,3.74,-0.26
02/18/2020,387.78,379.30,389.54,379.19,5.18,1.94
02/19/2020,386.19,388.12,392.95,384.90,4.90,-0.41
02/20/2020,386.00,386.56,389.70,376.68,4.08,-0.05
02/21/2020,380.07,385.33,387.32,377.90,3.94,-1.54
02/24/2020,368.70,364.76,372.82,361.00,6.94,-2.99
02/25/2020,360.09,372.00,375.65,357.72,6.48,-2.34
02/26/2020,379.24,366.31,382.00,365.00,8.96,5.32
02/27/2020,371.71,371.46,391.56,370.60,10.97,-1.99
02/28/2020,369.03,364.21,376.77,356.80,11.18,-0.72
03/02/2020,381.05,373.11,381.36,364.50,7.00,3.26
03/03/2020,368.77,381.03,393.52,367.40,8.36,-3.22
03/04/2020,383.79,377.77,384.01,370.51,5.49,4.07
03/05/2020,372.78,381.00,391.40,368.64,8.75,-2.87
03/06/2020,368.97,367.70,371.31,356.85,8.15,-1.02
03/09/2020,346.49,343.86,357.47,341.72,7.41,-6.09
03/10/2020,364.13,356.43,364.54,347.85,7.60,5.09
03/11/2020,349.92,358.92,362.98,344.79,6.06,-3.90
03/12/2020,315.25,326.50,335.72,307.32,12.07,-9.91
03/13/2020,336.30,330.51,336.42,307.39,9.46,6.68
03/16/2020,298.84,306.63,334.35,294.75,10.56,-11.14
03/17/2020,319.75,306.19,322.90,290.25,10.01,7.00
03/18/2020,315.47,300.77,331.50,300.03,12.59,-1.34
03/19/2020,332.03,324.06,348.38,316.87,10.62,5.25
03/20/2020,332.83,342.31,350.49,332.00,10.85,0.24
03/23/2020,360.27,347.89,366.11,340.88,13.45,8.24
03/24/2020,357.32,369.91,372.05,353.21,11.64,-0.82
03/25/2020,342.39,361.02,362.00,339.17,8.77,-4.18
03/26/2020,362.99,344.00,363.84,341.73,7.24,6.02
03/27/2020,357.12,359.09,368.56,353.00,7.95,-1.62
03/30/2020,370.96,363.00,377.80,361.17,8.62,3.88
03/31/2020,375.50,367.93,383.01,366.44,9.37,1.22
04/01/2020,364.08,376.05,380.23,361.02,6.67,-3.04
04/02/2020,370.08,364.08,370.99,360.06,4.59,1.65
04/03/2020,361.76,367.47,370.90,357.51,4.86,-2.25
04/06/2020,379.96,365.22,380.29,361.71,8.18,5.03
04/07/2020,372.28,380.00,381.33,369.34,7.05,-2.02
04/08/2020,371.12,374.01,378.39,368.31,6.91,-0.31
04/09/2020,370.72,371.06,372.10,363.03,7.71,-0.11
04/13/2020,396.72,371.31,400.51,367.70,11.69,7.01
04/14/2020,413.55,397.50,417.82,394.85,11.58,4.24
04/15/2020,426.75,413.00,434.98,412.25,13.56,3.19
04/16/2020,439.17,437.00,449.52,431.61,16.13,2.91
04/17/2020,422.96,431.00,432.00,414.70,12.62,-3.69
04/20/2020,437.49,435.17,444.49,430.56,12.66,3.44
04/21/2020,433.83,444.77,447.00,425.60,23.18,-0.84
04/22/2020,421.42,429.73,433.00,413.00,21.12,-2.86
04/23/2020,426.70,419.26,438.41,419.26,13.95,1.25
04/24/2020,424.99,425.00,427.17,415.88,8.67,-0.40
04/27/2020,421.38,425.00,429.00,420.84,6.28,-0.85
04/28/2020,403.83,419.99,421.00,402.91,10.10,-4.16
04/29/2020,411.89,399.53,415.86,393.60,9.69,2.00
04/30/2020,419.85,410.31,424.44,408.00,7.95,1.93
05/01/2020,415.27,415.10,427.97,411.73,8.30,-1.09
05/04/2020,428.15,417.78,428.54,414.87,7.80,3.10
05/05/2020,424.68,427.55,431.00,421.56,6.29,-0.81
05/06/2020,434.26,429.30,439.77,426.39,6.66,2.26
05/07/2020,436.53,436.89,438.88,430.66,5.65,0.52
05/08/2020,435.55,434.14,442.00,433.64,5.05,-0.22
05/11/2020,440.52,436.33,444.89,435.56,5.49,1.14
05/12/2020,431.82,442.00,444.17,431.36,4.60,-1.97
05/13/2020,438.27,435.69,447.00,427.27,7.01,1.49
05/14/2020,441.95,444.90,452.38,432.82,9.01,0.84
05/15/2020,454.19,440.70,455.00,437.51,7.24,2.77
05/18/2020,452.58,451.16,456.36,443.35,7.78,-0.35
05/19/2020,451.04,453.40,458.97,450.46,4.81,-0.34
05/20/2020,447.67,454.25,455.81,444.00,5.61,-0.75
05/21/2020,436.25,448.56,448.96,430.25,9.12,-2.55
05/22/2020,429.32,437.00,439.09,427.18,5.42,-1.59
05/26/2020,414.77,427.77,428.50,413.14,7.88,-3.39
05/27/2020,419.89,410.38,420.02,397.86,10.45,1.23
05/28/2020,413.44,417.24,422.37,411.50,5.66,-1.54
05/29/2020,419.73,417.46,420.30,411.85,5.27,1.52
06/01/2020,425.92,418.83,426.72,415.98,3.75,1.47
06/02/2020,427.31,425.87,427.59,419.46,3.49,0.33
06/03/2020,421.97,426.95,427.10,418.05,4.32,-1.25
06/04/2020,414.33,422.39,428.71,410.03,5.41,-1.81
06/05/2020,419.60,407.29,420.24,404.25,5.10,1.27
06/08/2020,419.49,416.00,420.80,406.50,5.85,-0.03
06/09/2020,434.05,421.65,434.73,420.31,6.80,3.47
06/10/2020,434.48,436.00,439.69,430.55,4.90,0.10
06/11/2020,425.56,428.20,445.57,424.16,7.46,-2.05
06/12/2020,418.07,429.00,434.06,412.45,6.46,-1.76
06/15/2020,425.50,421.40,426.49,415.42,4.47,1.78
06/16/2020,436.13,425.76,437.96,425.18,5.51,2.50
06/17/2020,447.77,441.82,450.46,439.22,6.53,2.67
06/18/2020,449.87,448.73,452.76,442.80,4.28,0.47
06/19/2020,453.72,449.12,453.97,445.60,5.93,0.86
06/22/2020,468.04,455.01,468.59,454.21,6.27,3.16
06/23/2020,466.26,466.50,474.01,464.50,5.95,-0.38
06/24/2020,457.85,468.54,472.36,454.00,4.83,-1.80
06/25/2020,465.91,458.86,467.01,454.00,4.13,1.76
06/26/2020,443.40,466.39,468.03,442.24,6.80,-4.83
06/29/2020,447.24,445.23,447.67,432.14,4.84,0.87
06/30/2020,455.04,450.02,457.59,447.00,4.20,1.74
07/01/2020,485.64,454.00,488.23,454.00,9.71,6.72
07/02/2020,476.89,485.64,492.28,475.53,6.35,-1.80
07/06/2020,493.81,480.77,499.50,479.80,7.84,3.55
07/07/2020,493.16,497.31,504.82,490.83,5.67,-0.13
07/08/2020,502.78,498.58,505.10,493.81,5.69,1.95
07/09/2020,507.76,508.40,510.00,495.78,5.84,0.99
07/10/2020,548.73,519.73,555.88,511.28,21.61,8.07
07/13/2020,525.50,567.98,575.37,520.96,18.40,-4.23
