Date,Price,Open,High,Low,Vol.,Change 
01/02/2020,30.99,29.94,31.00,29.79,20.58,4.20
01/03/2020,31.37,30.62,31.43,30.48,18.83,1.23
01/06/2020,31.58,31.01,32.06,31.00,21.22,0.67
01/07/2020,32.81,31.79,32.84,31.36,30.27,3.89
01/08/2020,33.93,32.73,34.52,32.46,43.96,3.41
01/09/2020,33.97,34.45,34.47,33.22,29.41,0.12
01/10/2020,34.01,34.08,34.99,33.84,34.28,0.12
01/13/2020,34.14,34.29,34.34,33.55,16.83,0.38
01/14/2020,34.84,34.20,35.02,33.92,26.03,2.05
01/15/2020,35.01,34.90,35.15,34.51,20.76,0.49
01/16/2020,34.68,35.03,35.06,34.18,21.96,-0.94
01/17/2020,35.13,34.97,35.25,34.65,17.25,1.30
01/21/2020,37.60,35.50,37.80,35.41,48.75,7.03
01/22/2020,37.04,37.94,37.94,36.92,29.77,-1.49
01/23/2020,37.40,36.97,37.95,36.73,21.37,0.97
01/24/2020,36.80,37.50,37.66,36.25,21.60,-1.60
01/27/2020,36.30,35.23,36.65,34.19,18.82,-1.36
01/28/2020,37.01,37.14,37.33,36.04,28.97,1.96
01/29/2020,36.99,36.98,37.56,36.80,16.88,-0.05
01/30/2020,36.68,36.82,37.13,35.95,22.85,-0.84
01/31/2020,36.29,37.00,37.04,35.69,21.55,-1.06
02/03/2020,37.59,36.75,37.64,36.53,23.54,3.58
02/04/2020,38.53,37.87,38.99,37.26,32.43,2.50
02/05/2020,36.81,38.89,38.97,36.73,38.41,-4.46
02/06/2020,37.09,37.30,37.39,36.73,52.70,0.76
02/07/2020,40.63,39.98,41.00,38.86,112.33,9.54
02/10/2020,40.01,40.65,41.34,39.96,60.84,-1.53
02/11/2020,41.27,40.25,41.47,40.05,33.90,3.15
02/12/2020,41.25,41.50,41.86,41.06,26.44,-0.05
02/13/2020,40.09,40.93,41.55,40.00,23.85,-2.81
02/14/2020,39.66,40.02,40.31,38.70,32.01,-1.07
02/18/2020,40.18,39.49,40.27,39.45,22.17,1.31
02/19/2020,41.05,40.42,41.23,40.12,23.29,2.17
02/20/2020,40.92,41.00,41.19,39.85,25.45,-0.32
02/21/2020,40.72,40.89,40.89,40.05,20.60,-0.49
02/24/2020,38.31,38.21,39.14,37.75,37.12,-5.92
02/25/2020,35.89,38.90,39.15,35.50,49.28,-6.32
02/26/2020,34.45,35.53,36.16,33.89,44.11,-4.01
02/27/2020,32.45,32.03,34.16,30.67,66.56,-5.81
02/28/2020,33.87,31.81,34.29,31.00,52.10,4.38
03/02/2020,32.85,34.05,34.08,31.74,46.66,-3.01
03/03/2020,33.04,34.02,34.18,31.90,35.18,0.58
03/04/2020,34.53,33.93,35.34,32.28,44.74,4.51
03/05/2020,32.21,33.47,33.57,31.97,32.76,-6.72
03/06/2020,31.68,31.23,32.41,30.45,34.81,-1.65
03/09/2020,28.17,28.50,30.32,28.15,37.44,-11.08
03/10/2020,28.97,29.47,29.86,27.00,36.31,2.84
